gen_id    pul_id   jbrowseTag orientation number
650520590	1	Sulf	+	1	
650520591	1	REG	-	2	
650520592	1	PL	-	3	
650520593	1	PL	-	4	
650520594	1	other	-	5	
650520595	1	SusD	-	6	
650520596	1	Trans	-	7	
650520597	1	GH	-	8	
650520598	1	PL	+	9	
650520599	1	other	-	10	
650520600	1	other	+	11	
650520601	1	other	+	12	
650520602	1	other	+	13	
650520603	1	Trans	+	14	
650520604	1	SusD	+	15	
650520616	2	GH	-	1	
650520617	2	GH	-	2	
650520618	2	GH	-	3	
650520619	2	other	-	4	
650520620	2	SusD	-	5	
650520621	2	Trans	-	6	
650520622	2	other	+	7	
650520623	2	other	+	8	
650520624	2	GH	-	9	
650521143	5	GH	-	1	
650521144	5	other	-	2	
650521145	5	GH	-	3	
650521146	5	SusD	-	4	
650521147	5	Trans	-	5	
650521148	5	REG	-	6	
650521149	5	REG	-	7	
650521192	6	REG	+	1	
650521193	6	REG	+	2	
650521194	6	Trans	+	3	
650521195	6	SusD	+	4	
650521196	6	other	+	5	
650521197	6	other	+	6	
650521198	6	other	-	7	
650521199	6	Trans	+	8	
650521200	6	GH	+	9	
650521201	6	REG	-	10	
650521202	6	other	+	11	
650521203	6	REG	+	12	
650521220	7	other	-	1	
650521221	7	SusD	-	2	
650521222	7	Trans	-	3	
650521223	7	PL	-	4	
650521224	7	GH	+	5	
650521225	7	PL	+	6	
650521226	7	Sulf	+	7	
650521227	7	PL	+	8	
650521228	7	other	+	9	
650521262	8	REG	+	1	
650521263	8	REG	+	2	
650521264	8	Trans	+	3	
650521265	8	SusD	+	4	
650521266	8	other	+	5	
650521267	8	other	+	6	
650521268	8	other	+	7	
650521269	8	GH	+	8	
650521270	8	GH	+	9	
650521271	8	GH	+	10	
650521681	11	GH	-	1	
650521682	11	REG	+	2	
650521683	11	GH	+	3	
650521684	11	GH	+	4	
650521685	11	GH	+	5	
650521686	11	GH	+	6	
650521687	11	other	+	7	
650521688	11	GH	+	8	
650521689	11	GH	+	9	
650521690	11	other	+	10	
650521691	11	other	-	11	
650521692	11	other	+	12	
650521693	11	Trans	+	13	
650521694	11	SusD	+	14	
650521695	11	other	+	15	
650521696	11	GH	+	16	
650521697	11	GH	+	17	
650521698	11	other	+	18	
650521699	11	other	+	19	
650521700	11	GH	+	20	
650521837	13	REG	+	1	
650521838	13	Trans	+	2	
650521839	13	SusD	+	3	
650521840	13	other	+	4	
650521841	13	other	+	5	
650521842	13	other	+	6	
650521843	13	GH	+	7	
650521844	13	GH	+	8	
650521845	13	GH	+	9	
650521846	13	CE	+	10	
650521847	13	GH	+	11	
650521848	13	other	+	12	
650521849	13	GH	+	13	
650521850	13	GH	-	14	
642808289	33	Sulf	-	1	
642808290	33	PL	-	2	
642808291	33	Trans	-	3	
642808292	33	ROK	-	4	
642808293	33	other	-	5	
642808294	33	Sulf	-	6	
642808295	33	PL	-	7	
642808296	33	GH	-	8	
642808297	33	SusD	-	9	
642808298	33	Trans	-	10	
642808299	33	ROK	-	11	
642808300	33	REG	-	12	
642808301	33	other	-	13	
642808302	33	Sulf	+	14	
642808303	33	PL	+	15	
642808434	35	GH	+	1	
642808435	35	GH	-	2	
642808436	35	SusD	-	3	
642808437	35	Trans	-	4	
642808438	35	REG	+	5	
642808439	35	GH	-	6	
642808440	35	GH	-	7	
642808441	35	GH	-	8	
642808442	35	SusD	-	9	
642808443	35	Trans	-	10	
642808444	35	REG	+	11	
642808445	35	other	-	12	
642808446	35	other	-	13	
642808447	35	other	+	14	
642808448	35	GH	-	15	
642808449	35	SusD	-	16	
642808450	35	Trans	-	17	
642808451	35	REG	-	18	
642808452	35	GH	-	19	
642808453	35	GH	-	20	
642808454	35	GH	-	21	
642808455	35	GH	-	22	
642808456	35	GH	-	23	
642808457	35	GH	-	24	
642808458	35	GH	-	25	
642808459	35	GH	-	26	
642808460	35	GH	-	27	
642808461	35	GH	-	28	
642808462	35	GH	-	29	
642808463	35	other	-	30	
642808464	35	SusD	-	31	
642808465	35	Trans	-	32	
642808466	35	REG	-	33	
642808467	35	GH	+	34	
642808468	35	other	+	35	
642808469	35	other	-	36	
642808470	35	SusD	-	37	
642808471	35	Trans	-	38	
642808472	35	REG	+	39	
642808473	35	REG	+	40	
642808474	36	GH	+	1	
642808475	36	GH	+	2	
642808476	36	GH	+	3	
642808477	36	other	+	4	
642808478	36	other	+	5	
642808479	36	GH	-	6	
642808480	36	SusD	-	7	
642808481	36	Trans	-	8	
642808482	36	SusD	-	9	
642808483	36	Trans	-	10	
642808484	36	other	-	11	
642808485	36	other	-	12	
642808486	36	CE	-	13	
642808487	36	GH	+	14	
642808488	36	other	+	15	
642808489	36	REG	+	16	
642808490	36	Trans	+	17	
642808491	36	other	+	18	
642808492	36	other	+	19	
642808624	37	REG	-	1	
642808625	37	other	-	2	
642808626	37	other	-	3	
642808627	37	GH	-	4	
642808628	37	other	-	5	
642808629	37	other	-	6	
642808630	37	SusD	-	7	
642808631	37	Trans	-	8	
642808632	37	GH	-	9	
642808633	37	other	+	10	
642808634	37	other	+	11	
642808635	37	other	+	12	
642808636	37	GH	+	13	
642808637	37	GH	+	14	
642808638	37	GH	+	15	
642808639	37	Pept	+	16	
642808652	38	ROK	-	1	
642808653	38	Trans	-	2	
642808654	38	GH	-	3	
642808655	38	GH	-	4	
642808656	38	other	-	5	
642808657	38	other	-	6	
642808658	38	other	-	7	
642808659	38	other	-	8	
642808660	38	GH	-	9	
642808661	38	GH	-	10	
642808662	38	GH	-	11	
642808663	38	CBM	-	12	
642808664	38	other	-	13	
642808665	38	other	-	14	
642808666	38	SusD	-	15	
642808667	38	Trans	-	16	
642808668	38	GH	-	17	
642808757	39	GH	-	1	
642808758	39	other	-	2	
642808759	39	GH	-	3	
642808760	39	GH	-	4	
642808761	39	GH	-	5	
642808762	39	GH	-	6	
642808763	39	GH	-	7	
642808764	39	GH	-	8	
642808765	39	other	-	9	
642808766	39	GH	-	10	
642808767	39	GH	-	11	
642808768	39	other	-	12	
642808769	39	other	-	13	
642808770	39	GH	-	14	
642808771	39	other	-	15	
642808772	39	other	-	16	
642808773	39	SusD	-	17	
642808774	39	Trans	-	18	
642808775	39	other	-	19	
642808776	39	GH	-	20	
642808777	39	GH	-	21	
642808778	39	GH	-	22	
642808779	39	other	+	23	
642808780	39	other	-	24	
642808781	39	GH	-	25	
642808821	40	Trans	+	1	
642808822	40	GH	+	2	
642808823	40	other	+	3	
642808824	40	Trans	+	4	
642808825	40	SusD	+	5	
642808826	40	other	+	6	
642808827	40	other	+	7	
642808828	40	other	+	8	
642808829	40	other	+	9	
642808830	40	other	+	10	
642808873	44	Trans	+	1	
642808874	44	SusD	+	2	
642808875	44	other	+	3	
642808876	44	GH	+	4	
642808877	44	GH	+	5	
642808878	44	Trans	+	6	
642808879	44	SusD	+	7	
642808880	44	GH	+	8	
642808881	44	other	+	9	
642808882	44	GH	+	10	
642808963	45	GH	+	1	
642808964	45	other	-	2	
642808965	45	other	-	3	
642808966	45	REG	+	4	
642808967	45	REG	+	5	
642808968	45	other	-	6	
642808969	45	GH	-	7	
642808970	45	GH	-	8	
642808971	45	GH	-	9	
642808972	45	GH	-	10	
642808973	45	Sulf	-	11	
642808974	45	SusD	-	12	
642808975	45	Trans	-	13	
642809010	46	Trans	+	1	
642809011	46	SusD	+	2	
642809012	46	other	+	3	
642809013	46	other	+	4	
642809014	46	GH	+	5	
642809015	46	GH	+	6	
642809016	46	PL	+	7	
642809017	46	other	-	8	
642809018	46	REG	+	9	
642809019	46	SusD	-	10	
642809020	46	Trans	-	11	
642809021	46	other	-	12	
642809022	46	other	+	13	
642809023	46	REG	+	14	
642809024	46	REG	+	15	
642809038	47	GH	+	1	
642809039	47	GH	+	2	
642809040	47	Sulf	-	3	
642809041	47	GH	-	4	
642809042	47	GH	-	5	
642809043	47	other	-	6	
642809044	47	GH	-	7	
642809045	47	other	-	8	
642809046	47	SusD	-	9	
642809047	47	Trans	-	10	
642809048	47	GH	-	11	
642809049	47	other	+	12	
642809050	47	GH	+	13	
642809051	47	other	-	14	
642809052	47	REG	-	15	
642809053	47	other	+	16	
642809054	47	GH	+	17	
642809055	47	GH	+	18	
642809056	47	GH	+	19	
642809057	47	ROK	+	20	
642809058	47	other	-	21	
642809059	47	other	+	22	
642809060	47	GH	+	23	
642809061	47	Trans	+	24	
642809062	47	SusD	+	25	
642809063	47	other	+	26	
642809064	47	GH	+	27	
642809065	47	GH	+	28	
642809066	47	Trans	+	29	
642809088	48	GH	-	1	
642809089	48	other	-	2	
642809090	48	SusD	-	3	
642809091	48	Trans	-	4	
642809092	48	GH	-	5	
642809093	48	REG	-	6	
642809145	50	CE	+	1	
642809146	50	other	+	2	
642809147	50	GH	+	3	
642809148	50	Trans	+	4	
642809149	50	SusD	+	5	
642809150	50	CE	+	6	
642809151	50	CE	+	7	
642809152	50	other	+	8	
642809153	50	GH	+	9	
642809154	50	GH	+	10	
642809155	50	GH	+	11	
642809156	50	REG	+	12	
642809237	51	GH	-	1	
642809238	51	other	-	2	
642809239	51	other	-	3	
642809240	51	other	-	4	
642809241	51	SusD	-	5	
642809242	51	Trans	-	6	
642809243	51	GH	-	7	
642809244	51	REG	-	8	
642809306	52	GH	-	1	
642809307	52	GH	-	2	
642809308	52	GH	-	3	
642809309	52	SusD	-	4	
642809310	52	Trans	-	5	
642809311	52	other	-	6	
642809312	52	REG	+	7	
642809313	52	other	-	8	
642809314	52	GH	-	9	
642809315	52	other	+	10	
642809316	52	REG	-	11	
642809317	52	GH	+	12	
642809318	52	GH	-	13	
642809319	52	GH	+	14	
642809320	52	other	-	15	
642809321	52	GH	-	16	
642809322	52	GH	-	17	
642809323	52	other	+	18	
642809324	52	other	+	19	
642809325	52	other	-	20	
642809326	52	other	-	21	
642809327	52	other	-	22	
642809328	52	other	-	23	
642809329	52	other	-	24	
642809330	52	SusD	-	25	
642809331	52	Trans	-	26	
642809370	53	GH	+	1	
642809371	53	other	+	2	
642809372	53	Trans	+	3	
642809373	53	SusD	+	4	
642809374	53	GH	+	5	
642809375	53	other	+	6	
642809376	53	ROK	+	7	
642809377	53	GH	+	8	
642809378	53	Sulf	+	9	
642809379	53	REG	+	10	
642809380	53	GH	+	11	
642809381	53	GH	+	12	
642809382	53	other	+	13	
642809383	53	GH	+	14	
642809384	53	GH	+	15	
642809385	53	GH	+	16	
642809386	53	GH	+	17	
642809387	53	GH	+	18	
642809388	53	Trans	+	19	
642809389	53	SusD	+	20	
642809390	53	GH	+	21	
642809391	53	GH	+	22	
642809392	53	other	+	23	
642809444	54	GH	-	1	
642809445	54	GH	-	2	
642809446	54	GH	-	3	
642809447	54	other	-	4	
642809448	54	other	-	5	
642809449	54	SusD	-	6	
642809450	54	Trans	-	7	
642809467	55	other	+	1	
642809468	55	PL	+	2	
642809469	55	Sulf	+	3	
642809470	55	other	-	4	
642809471	55	PL	-	5	
642809472	55	SusD	-	6	
642809473	55	Trans	-	7	
642809474	55	Sulf	-	8	
642809475	55	REG	-	9	
